,العاصمة,الجهراء,الفروانية,حولي,مبارك الكبير,الاحمدى
,مدينة الكويت,الصليبية,أبرق خيطان,حولي,العدان,الفنطاس
,دسمان,أمغرة,الأندلس,الشعب,القصور,العقيلة
,الشرق,النعيم,اشبيلية,السالمية,القرين,الظهر
,الصوابر,القصر,جليب الشيوخ,الرميثية,ضاحية صباح السالم,المقوع
,المرقاب,الواحة,خيطان,الجابرية,المسيلة,المهبولة
,القبلة,تيماء,خيطان الجديدة,مشرف,المسايل,الرقة
,الصالحية,النسيم,العمرية,بيان,أبو فطيرة,هدية
,الوطية,العيون,العارضية,آلبدع,أبو الحصانية,أبو حليفة
,بنيد القار,القيصرية,العارضية الصناعية,النقرة,صبحان,الصباحية
,كيفان,العبدلي,العباسية,ميدان حولي,الفنيطيس,المنقف
,الدوحة,الجهراء القديمة,الفردوس,ضاحية مبارك العبد الله الجابر,ضاحية مبارك الكبير,الفحيحيل
,الدسمة,الجهراء الجديدة,الفروانية,سلوى,,الأحمدي
,الدعية,كاظمة,الحساوي,جنوب السرة,,الوفرة
,المنصورية,مدينة سعد العبد الله,الشدادية,الزهراء,,الزور
,ضاحية عبد الله السالم,السالمي,الرابية,الصديق,,الخيران
,النزهة,المطلاع,الرحاب,حطين,,ميناء عبد الله
,الفيحاء,مدينة الحرير,الرقعي,السلام,,الوفرة الزراعية
,الشامية,كبد,الري الصناعية,الشهداء,,بنيدر
,الروضة,الروضتين,ضاحية صباح الناصر,,,الجليعة
,العديلية,الصبية,ضاحية عبد الله المبارك,,,الضباعية
,الخالدية,جزيرة بوبيان,الضجيج,,,ضاحية جابر العلي
,القادسية,جزيرة وربة,,,,ضاحية فهد الأحمد
,قرطبة,,,,,الشعيبة
,السرة,,,,,واره
,اليرموك,,,,,مدينة صباح الأحمد
,الشويخ,,,,,النويصيب
,الري,,,,,مدينة الخيران
,غرناطة,,,,,ضاحية علي صباح السالم أم الهيمان سابقاً
,الصليبيخات والدوحة,,,,,مدينة صباح الأحمد البحرية
,النهضة,,,,,
,مدينة جابر الأحمد,,,,,
,القيروان,,,,,
,شمال غرب الصليبيخات,,,,,
,جزيرة فيلكا,,,,,
,جزيرة كبر,,,,,
,جزيرة عوهة,,,,,
,جزيرة أم المرادم,,,,,
,جزيرة مسكان,,,,,
,جزيرة قاروه,,,,,
,جزيرة أم النمل,,,,,
,جزيرة الشويخ (عكاز أو القرين سابقًا),,,,,
