,ظفار,مسندم,البريمي,الداخلية,شمال الباطنة,جنوب الباطنة,الشرقية الشمالية,الجنوبية الشرقية,الظاهرة,الوسطى,مسقط
,ولاية صلالة,ولاية خصب,ولاية البريمي,ولاية نزوى,ولاية صحار,ولاية نخل,ولاية إبراء,ولاية مصيرة,ولاية عبري,ولاية هيما,ولاية مسقط
,ولاية طاقة,ولاية بخا,ولاية محضة,ولاية سمائل,ولاية شناص,ولاية وادي المعاول,ولاية المضيبي,ولاية صور,ولاية ينقل,ولاية الدقم,ولاية مطرح
,ولاية مرباط,ولاية دباء,ولاية السنينة,ولاية بهلا,ولاية لوى,ولاية العوابي,ولاية بدية,ولاية جعلان بني بو حسن,ولاية ضنك,ولاية محوت,ولاية بوشر
,ولاية ثمريت,ولاية مدحاء,,ولاية أدم,ولاية صحم,ولاية المصنعة,ولاية وادي بني خالد,ولاية جعلان بني بو علي,,ولاية الجازر,ولاية السيب
,ولاية سدح,,,ولاية الحمراء,ولاية الخابورة,ولاية بركاء,ولاية دماء والطائيين,ولاية الكامل والوافي,,,ولاية العامرات
,ولاية رخيوت,,,ولاية منح,ولاية السويق,ولاية الرستاق,ولاية القابل,,,,ولاية قريات
,ولاية ضلكوت,,,ولاية إزكي,,,,,,,
,ولاية مقشن,,,ولاية بدبد,,,,,,,
,ولاية شليم وجزر الحلانيات,,,,,,,,,,
,ولاية المزيونة,,,,,,,,,,
